SampleID,Temp,COD_in,COD_eff,COD_removal,TAN_in,TAN_eff,TAN_removal,HRT,Stage
OD60OT60.58,18.6,NA,NA,NA,NA,NA,NA,2,2
OD60OT60.71,18.6,NA,NA,NA,NA,NA,NA,2,2
OD61OT61.42,19.2,NA,NA,NA,NA,NA,NA,2,2
OD61OT61.67,19.3,NA,NA,NA,NA,NA,NA,2,2
OD62OT62.35,19.5,2885,94.5,0.97,201.85,0.15,1,2,2
OD62OT62.38,19.5,NA,NA,NA,NA,NA,NA,2,2
OD62OT62.65,19.2,NA,NA,NA,NA,NA,NA,2,2
OD63OT63.35,19.6,NA,NA,NA,NA,NA,NA,2,2
OD63OT63.75,19.5,NA,NA,NA,NA,NA,NA,2,2
OD64OT64.4,19.3,NA,NA,NA,NA,NA,NA,2,2
OD64OT64.44,19.7,NA,NA,NA,NA,NA,NA,2,2
OD64OT64.67,19.7,NA,NA,NA,NA,NA,NA,2,2
OD67OT67.38,NA,2290,58,0.97,52.78,0.36,0.99,2,2
OD67OT67.42,19.7,NA,NA,NA,NA,NA,NA,2,2
OD67OT67.71,19.7,NA,NA,NA,NA,NA,NA,2,2
OD68OT68.38,20,NA,NA,NA,NA,NA,NA,2,2
OD68OT68.71,20.4,NA,NA,NA,NA,NA,NA,2,2
OD69OT69.38,20.8,2155,36,0.98,54.1,0.3,0.99,2,2
OD69OT69.46,20.8,NA,NA,NA,NA,NA,NA,2,2
OD69OT69.71,20.4,NA,NA,NA,NA,NA,NA,2,2
OD70OT70.4,20.2,NA,NA,NA,NA,NA,NA,2,2
OD70OT70.63,20.2,NA,NA,NA,NA,NA,NA,2,2
OD71OT71.38,20.3,NA,NA,NA,NA,NA,NA,2,2
OD71OT71.5,20,NA,NA,NA,NA,NA,NA,2,2
OD71OT71.69,19.7,NA,NA,NA,NA,NA,NA,2,2
OD73OT73.42,NA,NA,NA,NA,NA,NA,NA,2,2
OD73OT73.42,NA,NA,NA,NA,NA,NA,NA,2,2
OD74OT74.38,20,NA,NA,NA,68.17,0.42,0.99,2,2
OD74OT74.42,20,NA,NA,NA,NA,NA,NA,2,2
OD74OT74.71,20,NA,NA,NA,NA,NA,NA,2,2
OD75OT75.38,20,NA,NA,NA,NA,NA,NA,2,2
OD75OT75.67,20,NA,NA,NA,NA,NA,NA,2,2
OD76OT76.4,20,1545,80,0.95,50.13,0.35,0.99,2,2
OD76OT76.42,20,NA,NA,NA,NA,NA,NA,2,2
OD76OT76.69,20,NA,NA,NA,NA,NA,NA,2,2
OD77OT77.4,20,NA,NA,NA,NA,NA,NA,2,2
OD77OT77.69,20,NA,NA,NA,NA,NA,NA,2,2
OD78OT78.36,20,NA,NA,NA,NA,NA,NA,2,2
OD78OT78.42,20,NA,NA,NA,NA,NA,NA,2,2
OD78OT78.67,20,NA,NA,NA,NA,NA,NA,2,2
OD80OT80.49,NA,NA,NA,NA,NA,NA,NA,2,2
OD80OT80.5,NA,NA,NA,NA,NA,NA,NA,2,2
OD81OT81.35,20.6,NA,NA,NA,72.96,1.03,0.99,2,2
OD81OT81.42,20.6,NA,NA,NA,NA,NA,NA,2,2
OD81OT81.69,20.5,NA,NA,NA,NA,NA,NA,2,2
OD82OT82.41,20.8,NA,NA,NA,NA,NA,NA,2,2
OD82OT82.63,21,NA,NA,NA,NA,NA,NA,2,2
OD83OT83.38,21.4,1410,43,0.97,42.36,0.23,0.99,2,2
OD83OT83.4,21.4,NA,NA,NA,NA,NA,NA,2,2
OD83OT83.63,21.7,NA,NA,NA,NA,NA,NA,2,2
OD84OT84.41,21.6,NA,NA,NA,NA,NA,NA,2,2
OD84OT84.69,21.9,NA,NA,NA,NA,NA,NA,2,2
OD85OT85.35,22,NA,NA,NA,NA,NA,NA,2,2
OD85OT85.52,22.1,NA,NA,NA,NA,NA,NA,2,2
OD85OT85.71,22.1,NA,NA,NA,NA,NA,NA,2,2
OD87OT87.38,NA,NA,NA,NA,NA,NA,NA,2,2
OD87OT87.38,NA,NA,NA,NA,NA,NA,NA,2,2
OD88OT88.38,21.3,NA,NA,NA,133.69,0.32,1,2,2
OD88OT88.42,21.4,NA,NA,NA,NA,NA,NA,2,2
OD88OT88.75,21.8,NA,NA,NA,NA,NA,NA,2,2
OD89OT89.35,22.6,NA,NA,NA,NA,NA,NA,2,2
OD89OT89.69,23,NA,NA,NA,NA,NA,NA,2,2
OD90OT90.38,23.1,2080,65.5,0.97,45.83,0.38,0.99,2,2
OD90OT90.42,23.1,NA,NA,NA,NA,NA,NA,2,2
OD90OT90.67,23.2,NA,NA,NA,NA,NA,NA,2,2
OD91OT91.4,23.2,NA,NA,NA,NA,NA,NA,2,2
OD91OT91.68,23.2,NA,NA,NA,NA,NA,NA,2,2
OD92OT92.39,23.2,NA,NA,NA,NA,NA,NA,2,2
OD92OT92.42,23.2,NA,NA,NA,NA,NA,NA,2,2
OD92OT92.67,23.2,NA,NA,NA,NA,NA,NA,2,2
OD94OT94.42,NA,NA,NA,NA,NA,NA,NA,2,2
OD94OT94.43,NA,NA,NA,NA,NA,NA,NA,2,2
OD95OT95.38,23.5,NA,NA,NA,NA,NA,NA,2,3
OD95OT95.42,23.5,NA,NA,NA,NA,NA,NA,1,3
OD95OT95.6,23.6,NA,NA,NA,NA,NA,NA,1,3
OD95OT95.71,23.6,NA,NA,NA,NA,NA,NA,1,3
OD96OT96.32,24.2,NA,NA,NA,NA,NA,NA,1,3
OD96OT96.5,23.8,NA,NA,NA,NA,NA,NA,1.5,3
OD96OT96.67,23.9,NA,NA,NA,NA,NA,NA,1.5,3
OD97OT97.33,24.4,NA,NA,NA,NA,NA,NA,1.5,3
OD97OT97.5,24.6,NA,NA,NA,NA,NA,NA,1,3
OD97OT97.67,24.9,NA,NA,NA,NA,NA,NA,1,3
OD98OT98.39,25.4,NA,NA,NA,NA,NA,NA,1,3
OD98OT98.4,25.4,NA,NA,NA,NA,NA,NA,1,3
OD98OT98.69,25.5,NA,NA,NA,NA,NA,NA,1,3
OD99OT99.31,26,NA,NA,NA,NA,NA,NA,1,3
OD99OT99.46,25.5,NA,NA,NA,NA,NA,NA,1,3
OD99OT99.73,25.5,NA,NA,NA,NA,NA,NA,1,3
OD100OT100.38,NA,NA,NA,NA,NA,NA,NA,1,3
OD100OT100.38,NA,NA,NA,NA,NA,NA,NA,1,3
OD101OT101.38,NA,NA,NA,NA,NA,NA,NA,1,3
OD101OT101.38,NA,NA,NA,NA,NA,NA,NA,1,3
OD102OT102.33,25.8,2320,285.5,0.88,113.34,89.61,0.21,1,3
OD102OT102.46,25.7,NA,NA,NA,NA,NA,NA,1,3
OD102OT102.75,26.1,NA,NA,NA,NA,NA,NA,1,3
OD103OT103.35,26.7,NA,NA,NA,NA,NA,NA,1,3
OD103OT103.38,26.7,NA,NA,NA,NA,NA,NA,1,3
OD103OT103.67,26.9,NA,NA,NA,NA,NA,NA,1,3
OD104OT104.39,27.5,NA,NA,NA,NA,NA,NA,1,3
OD104OT104.4,27.5,NA,NA,NA,NA,NA,NA,1,3
OD104OT104.67,27.5,NA,NA,NA,NA,NA,NA,1,3
OD105OT105.38,27.8,2225,94,0.96,121.11,53.21,0.56,1,3
OD105OT105.4,27.8,NA,NA,NA,NA,NA,NA,1,3
OD105OT105.67,27.8,NA,NA,NA,NA,NA,NA,1,3
OD106OT106.38,25.6,NA,NA,NA,NA,NA,NA,1,3
OD106OT106.5,25.6,NA,NA,NA,NA,NA,NA,1,3
OD106OT106.67,25.9,NA,NA,NA,NA,NA,NA,1,3
OD107OT107.42,NA,NA,NA,NA,NA,NA,NA,1,3
OD107OT107.42,NA,NA,NA,NA,NA,NA,NA,1,3
OD107OT108,NA,NA,NA,NA,NA,NA,NA,1.5,3
OD107OT108,NA,NA,NA,NA,NA,NA,NA,1.5,3
OD109OT109.35,24.9,NA,199,NA,NA,0.73,NA,1.5,3
OD109OT109.52,24.8,NA,NA,NA,NA,NA,NA,1.25,3
OD109OT109.67,25,NA,NA,NA,NA,NA,NA,1.25,3
OD109OT109.88,25,NA,NA,NA,NA,NA,NA,1.25,3
OD109OT109.88,25,NA,NA,NA,NA,NA,NA,1.25,3
OD110OT110.36,25.7,NA,NA,NA,NA,NA,NA,1.25,3
OD110OT110.67,25.7,NA,NA,NA,NA,NA,NA,1.25,3
OD111OT111.35,26.1,2045,170,0.92,88.85,1.07,0.99,1.25,3
OD111OT111.4,26.1,NA,NA,NA,NA,NA,NA,1.25,3
OD111OT111.65,26.1,NA,NA,NA,NA,NA,NA,1.25,3
OD112OT112.36,26.1,NA,NA,NA,NA,NA,NA,1.25,3
OD112OT112.65,26.4,NA,NA,NA,NA,NA,NA,1.25,3
OD112OT112.67,26.6,NA,NA,NA,NA,NA,NA,1.25,3
OD113OT113.36,26.6,NA,NA,NA,NA,NA,NA,1.25,3
OD113OT113.67,26.1,NA,NA,NA,NA,NA,NA,1.25,3
OD113OT113.68,26.1,NA,NA,NA,NA,NA,NA,1.25,3
OD114OT114.77,26,NA,NA,NA,NA,NA,NA,1.25,3
OD114OT114.78,26,NA,NA,NA,NA,NA,NA,1.25,3
OD116OT116.35,25.6,1680,204.5,0.88,180.18,0.29,1,1.25,3
OD116OT116.46,25.5,NA,NA,NA,NA,NA,NA,1.25,3
OD116OT116.71,25.6,NA,NA,NA,NA,NA,NA,1.25,3
OD117OT117.36,26.6,NA,NA,NA,NA,NA,NA,1.25,3
OD117OT117.69,27.1,NA,NA,NA,NA,NA,NA,1.25,3
OD117OT117.71,27.1,NA,NA,NA,NA,NA,NA,1.25,3
OD118OT118.35,27,NA,NA,NA,NA,NA,NA,1.25,3
OD118OT118.42,NA,NA,NA,NA,NA,NA,NA,1.25,3
OD118OT118.63,27.1,NA,NA,NA,NA,NA,NA,2,3
OD118OT118.79,27,NA,NA,NA,NA,NA,NA,2,3
OD119OT119.46,26.4,NA,NA,NA,NA,NA,NA,2,4
OD119OT119.52,26.3,NA,NA,NA,NA,NA,NA,2,4
OD119OT119.65,26.2,NA,NA,NA,NA,NA,NA,2,4
OD120OT120.35,26.2,NA,NA,NA,NA,NA,NA,2,4
OD120OT120.68,26.3,NA,NA,NA,NA,NA,NA,2,4
OD121OT121.38,26.3,1550,127,0.92,93.81,6.59,0.93,2,4
OD121OT121.38,26.3,NA,NA,NA,NA,NA,NA,2,4
OD123OT123.38,25.9,NA,NA,NA,NA,NA,NA,2,4
OD123OT123.67,26.1,NA,NA,NA,NA,NA,NA,1.5,4
OD124OT124.35,26.1,NA,NA,NA,NA,NA,NA,1.5,4
OD124OT124.71,26.3,NA,NA,NA,NA,NA,NA,1.5,4
OD125OT125.38,26.4,NA,NA,NA,153.54,0.33,1,1.5,4
OD125OT125.67,26.7,NA,NA,NA,NA,NA,NA,1.5,4
OD126OT126.29,27,NA,NA,NA,NA,NA,NA,1.5,4
OD126OT126.67,26.7,NA,NA,NA,NA,NA,NA,1.5,4
OD127OT127.36,26.4,NA,NA,NA,NA,NA,NA,1.5,4
OD127OT127.4,26.4,NA,NA,NA,NA,NA,NA,1.5,4
OD127OT127.71,25.9,NA,NA,NA,NA,NA,NA,1.5,4
OD128OT128.75,25.9,1610,151,0.91,81.57,0.21,1,1.5,4
OD128OT128.77,25.9,NA,NA,NA,NA,NA,NA,1.5,4
OD130OT130.4,25.9,1235,210,0.83,114.66,1.88,0.98,1.5,4
OD130OT130.71,26.3,NA,NA,NA,NA,NA,NA,1.5,4
OD131OT131.35,26.3,NA,NA,NA,NA,NA,NA,1.5,4
OD131OT131.65,26.3,NA,NA,NA,NA,NA,NA,1.5,4
OD132OT132.31,26.1,NA,NA,NA,NA,NA,NA,1.5,4
OD132OT132.67,26,NA,NA,NA,NA,NA,NA,1.5,4
OD133OT133.36,25.3,NA,NA,NA,NA,NA,NA,1.5,4
OD133OT133.74,25.3,NA,NA,NA,NA,NA,NA,1.5,4
OD134OT134.36,25.3,NA,NA,NA,NA,NA,NA,1.5,4
OD134OT134.46,25.1,NA,NA,NA,NA,NA,NA,1.5,4
OD134OT134.69,24.8,NA,NA,NA,NA,NA,NA,1.5,4
OD135OT135.77,24.8,1595,317,0.8,100.43,0.22,1,1.5,4
OD135OT135.79,24.8,NA,NA,NA,NA,NA,NA,1.5,4
OD137OT137.38,25.4,NA,NA,NA,NA,NA,NA,1.5,4
OD137OT137.71,NA,NA,NA,NA,NA,NA,NA,1.5,4
OD138OT138.38,24.9,NA,NA,NA,NA,NA,NA,1.5,4
OD138OT138.67,24.7,NA,NA,NA,NA,NA,NA,1.5,4
OD139OT139.4,24.6,NA,NA,NA,NA,NA,NA,1.5,4
OD139OT139.71,24.6,NA,NA,NA,NA,NA,NA,1.5,4
OD140OT140.38,24.5,NA,NA,NA,NA,NA,NA,1.5,4
OD140OT140.71,24.7,NA,NA,NA,NA,NA,NA,1.5,4
OD141OT141.38,25.2,NA,NA,NA,NA,NA,NA,1.5,4
OD141OT141.71,25.2,NA,NA,NA,NA,NA,NA,1.5,4
OD142OT142.77,25,NA,NA,NA,NA,NA,NA,1.5,4
OD142OT142.79,25,NA,NA,NA,NA,NA,NA,1.5,4
OD143OT143.77,25,1245,280,0.78,91.16,0.29,1,1.5,4
OD143OT143.79,25,NA,NA,NA,NA,NA,NA,1.5,4
OD144OT144.35,24.3,NA,NA,NA,NA,NA,NA,1.5,4
OD144OT144.67,24.1,NA,NA,NA,NA,NA,NA,1.5,4
OD145OT145.4,24.5,1525,291.5,0.81,98.11,0.38,1,1.5,4
OD145OT145.75,24.6,NA,NA,NA,NA,NA,NA,1.5,4
OD146OT146.38,25.1,NA,NA,NA,NA,NA,NA,1.5,4
OD146OT146.69,25.2,NA,NA,NA,NA,NA,NA,1.5,4
OD147OT147.29,25.4,NA,NA,NA,NA,NA,NA,1.5,4
OD147OT147.75,25.4,NA,NA,NA,NA,NA,NA,1.5,4
OD148OT148.4,25.5,NA,NA,NA,NA,NA,NA,1.5,4
OD148OT148.71,25.6,NA,NA,NA,NA,NA,NA,1.5,4
OD149OT149.77,25.5,1700,300.5,0.82,126.26,6.11,0.95,1.5,4
OD149OT149.78,25.5,NA,NA,NA,NA,NA,NA,1.5,4
OD151OT151.38,25.4,NA,NA,NA,NA,NA,NA,1.5,4
OD151OT151.74,25.5,NA,NA,NA,NA,NA,NA,1.5,4
OD153OT153.38,NA,NA,NA,NA,NA,NA,NA,1.5,4
OD153OT153,NA,NA,NA,NA,NA,NA,NA,1.5,4
OD154OT154,NA,NA,NA,NA,NA,NA,NA,1.5,4
OD154OT154,NA,NA,NA,NA,NA,NA,NA,1.5,4
OD155OT155.38,NA,NA,NA,NA,NA,NA,NA,3,4
OD155OT155,NA,NA,NA,NA,NA,NA,NA,3,4
OD158OT158,NA,NA,NA,NA,NA,NA,NA,3,4
OD158OT158,NA,NA,NA,NA,NA,NA,NA,3,4
OD159OT159,NA,NA,NA,NA,NA,NA,NA,3,4
OD159OT159,NA,NA,NA,NA,NA,NA,NA,3,4
OD160OT160,NA,NA,NA,NA,NA,NA,NA,3,4
OD160OT160,NA,NA,NA,NA,NA,NA,NA,3,4
OD161OT161,NA,NA,NA,NA,NA,NA,NA,3,4
OD161OT161,NA,NA,NA,NA,NA,NA,NA,3,4
OD162OT162.38,NA,NA,NA,NA,NA,NA,NA,3,4
OD165OT165.48,23.9,NA,NA,NA,NA,NA,NA,3,4
OD165OT165.72,23.5,NA,NA,NA,NA,NA,NA,3,4
OD165OT165.73,23.5,NA,NA,NA,NA,NA,NA,3,4
OD166OT166.38,23.5,NA,NA,NA,NA,NA,NA,3,4
OD166OT166.79,23.5,NA,NA,NA,NA,NA,NA,3,4
OD167OT167.35,23.4,NA,NA,NA,NA,NA,NA,3,4
OD167OT167.71,22.9,NA,NA,NA,NA,NA,NA,3,4
OD168OT168.38,23.4,NA,NA,NA,NA,NA,NA,3,4
OD168OT168.6,23.4,NA,NA,NA,NA,NA,NA,3,4
OD168OT168.77,23.4,NA,NA,NA,NA,NA,NA,3,4
OD169OT169.38,23,2270,92.5,0.96,78.58,0,1,3,4
OD169OT169.44,22.8,NA,NA,NA,NA,NA,NA,3,4
OD169OT169.72,22.8,NA,NA,NA,NA,NA,NA,3,4
OD172OT172.38,23.4,NA,NA,NA,NA,NA,NA,3,4
OD172OT172.46,23.4,NA,NA,NA,NA,NA,NA,3,4
OD172OT172.77,23.4,NA,NA,NA,NA,NA,NA,3,4
OD173OT173.33,23.6,NA,NA,NA,NA,NA,NA,3,5
OD173OT173.42,23.5,NA,NA,NA,NA,NA,NA,2,5
OD173OT173.69,23.8,NA,NA,NA,NA,NA,NA,2,5
OD174OT174.33,23.8,NA,NA,NA,NA,NA,NA,2,5
OD174OT174.75,23.8,NA,NA,NA,NA,NA,NA,2,5
OD175OT175.35,23.8,NA,NA,NA,NA,NA,NA,2,5
OD175OT175.81,23.8,NA,NA,NA,NA,NA,NA,2,5
OD176OT176.38,23.8,NA,NA,NA,NA,NA,NA,2,5
OD176OT176.69,23.6,NA,NA,NA,NA,NA,NA,2,5
OD177OT177.35,24,2000,33,0.98,78.24,0.08,1,2,5
OD177OT177.36,24,NA,NA,NA,NA,NA,NA,2,5
OD179OT179.44,24,1870,113,0.94,110.64,0.05,1,2,5
OD179OT179.46,24,NA,NA,NA,NA,NA,NA,2,5
OD180OT180.38,24.3,NA,NA,NA,NA,NA,NA,2,5
OD180OT180.75,24.5,NA,NA,NA,NA,NA,NA,2,5
OD181OT181.38,24.8,NA,NA,NA,NA,NA,NA,2,5
OD181OT181.42,24.8,NA,NA,NA,NA,NA,NA,1.5,5
OD181OT181.73,24.8,NA,NA,NA,NA,NA,NA,2,5
OD182OT182.34,24.8,NA,NA,NA,NA,NA,NA,2,5
OD182OT182.75,24.8,NA,NA,NA,NA,NA,NA,2,5
OD183OT183.38,23,NA,NA,NA,NA,NA,NA,2,5
OD183OT183.67,22.9,NA,NA,NA,NA,NA,NA,2,5
OD184OT184.36,23.5,1830,93,0.95,70.85,0.04,1,2,5
OD184OT184.38,23.5,NA,NA,NA,NA,NA,NA,2,5
OD186OT186.38,23.9,NA,NA,NA,NA,NA,NA,2,5
OD186OT186.42,23.8,NA,NA,NA,NA,NA,NA,2,5
OD187OT187.35,23.7,NA,NA,NA,NA,NA,NA,2,6
OD187OT187.7,23.6,NA,NA,NA,NA,NA,NA,1.5,6
OD187OT187.71,23.6,NA,NA,NA,NA,NA,NA,1.5,6
OD188OT188.38,24,NA,NA,NA,NA,NA,NA,1.5,6
OD188OT188.46,23.9,NA,NA,NA,NA,NA,NA,1.5,6
OD188OT188.71,23.8,NA,NA,NA,NA,NA,NA,1.5,6
OD189OT189.42,23.6,NA,NA,NA,NA,NA,NA,1.5,6
OD189OT189.71,23.5,NA,NA,NA,NA,NA,NA,1.5,6
OD190OT190.35,23.6,NA,NA,NA,NA,NA,NA,1.5,6
OD190OT190.67,23.2,NA,NA,NA,NA,NA,NA,1.5,6
OD191OT191.79,23,1720,124,0.93,79.75,0.04,1,1.5,6
OD191OT191.81,23,NA,NA,NA,NA,NA,NA,1.5,6
OD193OT193.33,22.8,1670,83.5,0.95,93.85,0.87,0.99,1.5,6
OD193OT193.79,22.9,NA,NA,NA,NA,NA,NA,1.5,6
OD194OT194.33,23,NA,NA,NA,NA,NA,NA,1.5,6
OD194OT194.71,23,NA,NA,NA,NA,NA,NA,1.5,6
OD195OT195.38,22.6,NA,NA,NA,NA,NA,NA,1.5,6
OD195OT195.7,22.5,NA,NA,NA,NA,NA,NA,1.5,6
OD196OT196.38,22.8,NA,NA,NA,NA,NA,NA,1.5,6
OD196OT196.71,22.9,NA,NA,NA,NA,NA,NA,1.5,6
